Symbol,Entry Time,Exit Time,Entry Price,Exit Price,AI Confidence,PnL %,Reason,raw_pnl
BTC/USDT,2026-02-15 17:00,2026-02-16 12:00,68641.21,69763.24,65.23%,1.63%,TP,1.6346302753112871
BTC/USDT,2026-02-22 00:00,2026-02-22 17:00,67946.0,67384.49,57.42%,-0.83%,SL,-0.8264062637977141
BTC/USDT,2026-02-26 07:00,2026-02-26 16:00,67825.04,66643.55,58.39%,-1.74%,SL,-1.7419672734435405
BTC/USDT,2026-02-26 17:00,2026-02-27 04:00,66826.8,67747.49,65.40%,1.38%,TP,1.3777257028617296
BTC/USDT,2026-03-01 10:00,2026-03-01 20:00,66467.06,65300.0,63.27%,-1.76%,SL,-1.7558471820477657
BTC/USDT,2026-03-01 21:00,2026-03-02 00:00,65666.2,66501.52,56.02%,1.27%,TP,1.2720699537966367
BTC/USDT,2026-03-03 08:00,2026-03-03 16:00,67003.3,68175.9,72.81%,1.75%,TP,1.750063056595707
BTC/USDT,2026-03-05 05:00,2026-03-05 10:00,72412.15,73388.92,71.23%,1.35%,TP,1.3489034644048052
BTC/USDT,2026-03-05 17:00,2026-03-06 12:00,70704.41,69907.0,64.61%,-1.13%,SL,-1.1278080108440245
BTC/USDT,2026-03-10 21:00,2026-03-11 11:00,69763.01,69173.0,59.90%,-0.85%,SL,-0.8457347238887697
BTC/USDT,2026-03-12 03:00,2026-03-12 10:00,69446.61,70412.11,66.15%,1.39%,TP,1.390276645613083
BTC/USDT,2026-03-13 23:00,2026-03-14 23:00,70930.0,71211.95,59.76%,0.40%,RSI,0.39750458198223193
ETH/USDT,2026-02-14 06:00,2026-02-14 08:00,2053.68,2082.35,57.35%,1.40%,TP,1.3960305402983948
ETH/USDT,2026-02-15 01:00,2026-02-15 07:00,2064.19,2091.41,60.35%,1.32%,TP,1.3186770597667752
ETH/USDT,2026-02-18 11:00,2026-02-18 18:00,1981.43,1952.62,56.41%,-1.45%,SL,-1.454000393655096
ETH/USDT,2026-02-22 03:00,2026-02-22 13:00,1974.71,1950.95,56.71%,-1.20%,SL,-1.2032146492396347
ETH/USDT,2026-02-26 07:00,2026-02-26 15:00,2053.37,2033.34,59.37%,-0.98%,SL,-0.9754695938871208
ETH/USDT,2026-02-26 16:00,2026-02-26 19:00,1983.8,2030.14,55.41%,2.34%,TP,2.335920959774178
ETH/USDT,2026-02-26 23:00,2026-02-27 06:00,2027.68,2035.91,59.13%,0.41%,RSI,0.40588258502327873
ETH/USDT,2026-03-03 08:00,2026-03-03 16:00,1953.1,1983.98,62.80%,1.58%,TP,1.581076237775849
ETH/USDT,2026-03-05 05:00,2026-03-05 10:00,2119.65,2156.15,66.33%,1.72%,TP,1.7219824027551716
