Entry Time,Exit Time,Entry Price,Exit Price,AI Confidence,PnL %,raw_pnl
2026-02-10 09:00,2026-02-11 01:00,84.56,83.77,56.23%,-0.93%,-0.9342478713339715
2026-02-11 15:00,2026-02-12 09:00,79.72,81.79,58.04%,2.60%,2.5965880582037224
2026-02-12 15:00,2026-02-13 08:00,80.12,79.73,55.61%,-0.49%,-0.4867698452321524
2026-02-16 04:00,2026-02-16 09:00,85.79,86.01,55.99%,0.26%,0.2564401445389892
2026-02-18 10:00,2026-02-19 06:00,84.26,82.36,55.58%,-2.25%,-2.2549252314265433
2026-02-19 12:00,2026-02-19 18:00,80.79,81.98,55.94%,1.47%,1.472954573585837
2026-02-20 13:00,2026-02-20 14:00,82.19,83.07,59.40%,1.07%,1.0706898649470684
2026-02-23 02:00,2026-02-23 09:00,77.87,80.46,60.95%,3.33%,3.3260562475921267
2026-02-24 02:00,2026-02-24 16:00,77.64,78.13,56.07%,0.63%,0.631117980422456
2026-02-26 23:00,2026-02-27 01:00,85.91,86.15,56.40%,0.28%,0.2793621231521466
2026-02-27 18:00,2026-02-28 00:00,81.48,82.12,58.87%,0.79%,0.7854688267059408
2026-02-28 03:00,2026-02-28 15:00,81.74,80.92,55.65%,-1.00%,-1.0031808172253405
2026-03-02 13:00,2026-03-02 14:00,83.08,85.68,58.20%,3.13%,3.1295137217140208
2026-03-03 11:00,2026-03-03 15:00,84.21,85.04,56.53%,0.99%,0.9856311601947662
2026-03-06 15:00,2026-03-07 01:00,84.65,84.71,55.25%,0.07%,0.07088009450677857
2026-03-07 06:00,2026-03-07 07:00,84.03,84.32,55.34%,0.35%,0.3451148399381079
2026-03-07 12:00,2026-03-07 18:00,84.3,83.38,56.58%,-1.09%,-1.0913404507710578
2026-03-08 05:00,2026-03-08 09:00,82.5,83.17,55.07%,0.81%,0.8121212121212142
2026-03-08 11:00,2026-03-08 19:00,82.81,82.49,55.89%,-0.39%,-0.3864267600531426
2026-03-08 21:00,2026-03-09 02:00,82.25,82.67,57.01%,0.51%,0.5106382978723425
2026-03-10 03:00,2026-03-10 12:00,85.55,86.7,59.53%,1.34%,1.3442431326709592
2026-03-12 02:00,2026-03-12 07:00,85.21,85.82,58.46%,0.72%,0.7158784180260527
2026-03-14 00:00,2026-03-14 22:00,87.94,87.31,60.50%,-0.72%,-0.7163975437798448
2026-03-19 11:00,2026-03-19 20:00,89.62,88.99,59.17%,-0.70%,-0.7029680874804839
